defaultProfilePic,role,name,surname,username,password,facultyId,majorId,teacherId,false,2024-10-16 04:03:36
default-profile-pic.png,ผู้ดูแลระบบ,ชัยยงค์,คึมยะราช,admin,$2a$10$a2Oba9S39GA4c4IDT6cZZecXeT8G0jVtdA6jKp6L3RwEB2tchCyLe,,,,true,2024-10-19 02:41:24
default-profile-pic.png,เจ้าหน้าที่คณะ,เก่งชัย,สู้งาน,kengchai,password,E,,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่คณะ,ศรศักดิ์,มั่นคง,sornsak,password,E,,,false,2024-10-18 10:44:11
default-profile-pic.png,เจ้าหน้าที่คณะ,ธนกร,วิชัยเดช,thanakorn,password,E,,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่คณะ,เกตุนุต,พรพิรมย์,ketnut,password,D,,,false,2024-10-16 16:58:11
default-profile-pic.png,เจ้าหน้าที่คณะ,กิตติพงษ์,ศรีสมบูรณ์,kittipong,password,D,,,false,2024-10-16 05:16:06
default-profile-pic.png,เจ้าหน้าที่คณะ,อรณิชา,วัฒนกุล,ornicha,password,D,,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่คณะ,ศุภสุตา,ยนต์สิริ,supasuta,password,D,,,false,2024-10-19 04:40:07
default-profile-pic.png,เจ้าหน้าที่คณะ,สุพจน์,จันทรานาค,supoch,password,N,,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่คณะ,วิภาวดี,เพชรน้อย,viphavadee,password,N,,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่คณะ,ศศิธร,ชาญชัย,sasithorn,password,N,,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,อิงธาร,เทียมเมือง,ingtharn,password,D,D14,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,สุนทร,พันธุ์ยืน,sunthorn,password,E,E06,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,กิตติ,พวงประเสริฐ,kitti,password,E,E06,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,ชลิต,ศรีสุข,chalit,password,E,E06,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,พัชรินทร์,เจริญศรี,pacharin,password,E,E05,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,อัมรินทร์,จันทร์นาค,amarin,password,E,E05,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,ธนวัฒน์,ภูมิธรรม,thanawat,password,E,E03,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,พิมพ์ชนก,วัฒนกุลม,pimchanok,password,E,E03,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,อุษา,สุทธิวรรณ,usa,password,E,E03,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,วิทยา,โชคชัย,wittaya,password,D,D14,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,จุฑามาศ,สวัสดิ์สุข,juthamas,password,D,D14,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,ปรัชญา,ศรีอำพัน,prachya,password,D,D14,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,สุทธิพงศ์,หาญณรงค์,suthipong,password,D,D04,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,จิตติ,กิตติวัฒน์,jitti,password,D,D04,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,ภูมิพัฒน์,สวนเสนา,pomput,password,D,D07,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,อรทัย,ศุภอุดม,orathai,password,D,D07,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,นิพนธ์,ทองประเสริฐ,niphon,password,N,N01,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,นันทิยา,นวลจันทร์,nantiya,password,N,N01,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,ชลธิชา,โพธิ์ทอง,chonthicha,password,N,N01,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,เทิดศักดิ์,จันทร์ทอง,tedsak,password,N,N04,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,กานต์พิชชา,ชูตระกูล,kanpicha,password,N,N04,,false,2023-10-15 10:30:45
default-profile-pic.png,เจ้าหน้าที่ภาควิชา,อาทิตยา,คำพล,athiya,password,N,N05,,false,2023-10-15 10:30:45
